id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
26339493,Kendo Notification How to Show errorTemplate Notification(MVC),"I want to show a notification when user clicks save or delete button. Here is what i use for it.(Kendo notification)
I think i have a problem with CSS part, i changed many things but still i'm same place.
I have no problem with save notification but when i want to show errorTemplate notification i get this notificaton:
But i want to show this type of notification. How can i show a template like this?
What am i doing wrong?
Script part 1:
Script part 2(for controls):
Div parts:
CSS",,1,1,,2014-10-13 11:59:55.463000+00:00,1.0,2017-06-22 10:07:23.093000+00:00,,,,,3801538.0,,1,1,css|asp.net-mvc|kendo-ui,3140
26339490,How is git push through network working? (proxy),"I'm wondering how  works. I'm behind a proxy and even configuring it in my PhpStorm soft doesn't work.
So, I'm wondering how it is sent trough network, I guess using the port 80 for HTTP and 443 for HTTPS.
I read a bunch of threads on SO but couldn't figure out what's wrong there.
I guess &quot;my&quot; proxy doesn't have WebDAV enabled as explained here: Can&#39;t push to github through proxy
But I would like to know if anything else could be the source of the issue here, knowing that all ports are closed, excepted 80, 22 and 443.
Solution:
Not secured proxy (http)
If the proxy is not secure then you can configure it using:
And disable it using:
Secured proxy (https)
And disable it using:
Note that if you are under Windows and using TortoiseGit, you can set the proxy settings from the software itself. (Network tab)
If you're using Cygwin then be aware that if you set the global config it will be set only for the current environment. (Using cmd.exe will set it for Windows, but using the cygwin console will set it for cygwin only)
So, if you're using Git through an IDE (PhpStorm, WebStorm) be sure to have set the config in the environment used by the IDE, or it will not work.
Be also aware that if you have set the proxy in git setting and you're not behind the proxy, it will not work neither. (i.e: You've set it at work and it works fine, but when you're using it at home it doesn't work anymore while it used to work before)",26352390.0,3,4,,2014-10-13 11:59:41.017000+00:00,7.0,2019-11-10 05:47:13.483000+00:00,2020-06-20 09:12:55.060000+00:00,,-1.0,,2391795.0,,1,14,git|proxy,9616
26339488,Check if file from remote server exists,"i have an application which requires access permission to a file on remote server.
My app is in Server A, and the file i want to access is in Server B. These 2 servers are in the same domain.
I created a virtual directory in Server A for the directory in Server B. The name of virtual directory is FolderFromServerB and its path is \ServerB\Folder. I use a user for auth, and when i test the connection in IIS it says all is OK.
Also, when i put an anchor tag in a test file like below, i can access the file and the content is shown in the page:
But my problem is when i use code in order to if that file exists or not, it always returns with False. My code is like below:
FileInfo fi = new FileInfo(@&quot;\FolderFromServerB/test.txt&quot;); --&gt; This doesn't work
Response.Write(fi.Exists); --&gt; This always 'False'
I granted 'Full Control' permission to my user&amp; NETWORK SERVICE &amp; Everyone &amp; Administratos in Server B but i didnt work neither.
How can i make it work?
It was working last week. I guess the server updated itself and some updates made that occur, but i couldn't find any workaround. Im so desperate now and i have to change all of my code and spend much time to make it work.",,2,2,,2014-10-13 11:59:36.233000+00:00,,2014-10-13 14:16:12.133000+00:00,2020-06-20 09:12:55.060000+00:00,,-1.0,,1165260.0,,1,0,c#|iis|file-exists|applicationpoolidentity,1943
26339487,How to add styles to wordpress default menu,"I just installed my theme to newly installed wordpress site. I didn't create any menu from appearence>menus, so by default wordpress showing ""home"" * ""sample page"" to the header as a default menu (I don't know the correct name, maybe callback menu?)
the problem is they are not getting any style from my stylesheet, I know if I create my custom menu, they ll get the styles from css. but I want this default wordpress menu to get the css as well. so the theme doesn't look odd when first install. how to do it?",26340716.0,4,2,,2014-10-13 11:59:27.627000+00:00,,2014-10-13 18:18:24.687000+00:00,,,,,2423598.0,,1,0,css|wordpress|wordpress-theming,959
26339484,Manually trigger onLoad event of iFrame,"I have two different pages: the main page and the second page (that will be displayed in the main page as an iFrame).
The fact is that I cannot edit the main page, except from the iFrame href link.
What I want to do is to manually trigger the iFrame ""onLoad"" event in the main page, by using jQuery in the second page.
This is getting really hard cause of the impossibility to edit the main page, and the only thing I managed to do is to manually trigger the ""ready"" event on the second page, but this is not related to the ""onLoad"" event, unfortunately.
Any help would be greatly appreciated.
Thanks in advance.",,1,1,,2014-10-13 11:59:20.177000+00:00,,2014-10-13 12:06:25.213000+00:00,,,,,3074303.0,,1,0,javascript|jquery|html|iframe|triggers,3306
26339482,Multidimensional flexible array initializer in C,"Is there any way to replace the [5] in the array declaration by [] ? Everything is declared statically, so why does it need to know the size ?",,0,7,,2014-10-13 11:59:12.373000+00:00,,2014-10-13 11:59:12.373000+00:00,,,,,1071669.0,,1,0,c|arrays,83
26339481,$.ajax not working in angularjs,"I am trying to log my client-sided error on on the server side in my angular app. To do this, I am using stacktrace.js and I am using the following factory:
);
My problem here, is that I am not using jQuery in my app and I'd like to avoid it as much as possible. as a result when running this code, I get the expected error:
How can I make an ajax request without using the $http service here (to avoir circular references in the case)?",26339758.0,1,3,,2014-10-13 11:59:12.017000+00:00,,2014-10-13 12:21:18.357000+00:00,,,,,2641547.0,,1,-1,javascript|ajax|angularjs,681
26339478,Bug in R with subset,"I have some trouble while trying to get a subset of an initial dataframe as in the end it corrupts my dataframe! Here is an example of what is happening:
Let consider a dataframe :
Then I want to take the subset where var1 value is strictly below, let's say -2:
Not only did the subset operation didn't work but it actually corrupt my initial database by replacing all the v1 values by 2 !",26339603.0,2,1,,2014-10-13 11:59:03.170000+00:00,,2014-10-13 12:04:43.953000+00:00,,,,,3941826.0,,1,0,r,116
26339475,Magento Translation,"I have Magento 1.8.1.0. Recently I've installed Russian pack, the result wasn't appropriate enough, cause some phrases on frontend remained in English
I know there's handy way to translate Magento using cvs-files.
The question is where I can find proper cvs-file? Does installed theme concerns translation some how? I know I'm asking newbie questions, I've read several posts, but I haven't made up my mind how to translate Magento.
Many thanks in advance.",,3,0,,2014-10-13 11:58:54.810000+00:00,1.0,2017-04-09 09:15:43.200000+00:00,,,,,1537693.0,,1,1,magento|translation|magento-1.8,2882
26339473,how to add different layer when i click a button,"i have 4 imageButton ,
when i click in one of this button a layer should appear over a imageView that i created.
myAvatar is my ImageView.
can someone help me?
EDIT this is my xml code ( i have 20 imageButton in 4 categories)",26340049.0,3,5,,2014-10-13 11:58:51.363000+00:00,,2014-10-13 12:52:25.400000+00:00,2014-10-13 12:38:54.890000+00:00,,4067311.0,,4067311.0,,1,1,android|layer,1037
